"question","week","response","age","percent"
1,1,"Very closely","18-29",0.17
1,1,"Very closely","30-44",0.24
1,1,"Very closely","45-64",0.24
1,1,"Very closely","65+",0.22
1,1,"Somewhat closely","18-29",0.37
1,1,"Somewhat closely","30-44",0.34
1,1,"Somewhat closely","45-64",0.51
1,1,"Somewhat closely","65+",0.59
1,1,"Not very closely","18-29",0.29
1,1,"Not very closely","30-44",0.28
1,1,"Not very closely","45-64",0.19
1,1,"Not very closely","65+",0.16
1,1,"Not following at all","18-29",0.17
1,1,"Not following at all","30-44",0.14
1,1,"Not following at all","45-64",0.06
1,1,"Not following at all","65+",0.03
1,2,"Very closely","18-29",0.15
1,2,"Very closely","30-44",0.27
1,2,"Very closely","45-64",0.27
1,2,"Very closely","65+",0.28
1,2,"Somewhat closely","18-29",0.36
1,2,"Somewhat closely","30-44",0.39
1,2,"Somewhat closely","45-64",0.49
1,2,"Somewhat closely","65+",0.54
1,2,"Not very closely","18-29",0.26
1,2,"Not very closely","30-44",0.22
1,2,"Not very closely","45-64",0.19
1,2,"Not very closely","65+",0.16
1,2,"Not following at all","18-29",0.23
1,2,"Not following at all","30-44",0.12
1,2,"Not following at all","45-64",0.05
1,2,"Not following at all","65+",0.02
1,3,"Very closely","18-29",0.2
1,3,"Very closely","30-44",0.2
1,3,"Very closely","45-64",0.22
1,3,"Very closely","65+",0.28
1,3,"Somewhat closely","18-29",0.4
1,3,"Somewhat closely","30-44",0.45
1,3,"Somewhat closely","45-64",0.48
1,3,"Somewhat closely","65+",0.53
1,3,"Not very closely","18-29",0.32
1,3,"Not very closely","30-44",0.24
1,3,"Not very closely","45-64",0.23
1,3,"Not very closely","65+",0.18
1,3,"Not following at all","18-29",0.08
1,3,"Not following at all","30-44",0.11
1,3,"Not following at all","45-64",0.07
1,3,"Not following at all","65+",0.02
1,4,"Very closely","18-29",0.17
1,4,"Very closely","30-44",0.22
1,4,"Very closely","45-64",0.23
1,4,"Very closely","65+",0.35
1,4,"Somewhat closely","18-29",0.35
1,4,"Somewhat closely","30-44",0.41
1,4,"Somewhat closely","45-64",0.52
1,4,"Somewhat closely","65+",0.53
1,4,"Not very closely","18-29",0.3
1,4,"Not very closely","30-44",0.25
1,4,"Not very closely","45-64",0.2
1,4,"Not very closely","65+",0.1
1,4,"Not following at all","18-29",0.18
1,4,"Not following at all","30-44",0.12
1,4,"Not following at all","45-64",0.05
1,4,"Not following at all","65+",0.02
1,5,"Very closely","18-29",0.22
1,5,"Very closely","30-44",0.28
1,5,"Very closely","45-64",0.44
1,5,"Very closely","65+",0.47
1,5,"Somewhat closely","18-29",0.44
1,5,"Somewhat closely","30-44",0.41
1,5,"Somewhat closely","45-64",0.39
1,5,"Somewhat closely","65+",0.44
1,5,"Not very closely","18-29",0.21
1,5,"Not very closely","30-44",0.18
1,5,"Not very closely","45-64",0.13
1,5,"Not very closely","65+",0.07
1,5,"Not following at all","18-29",0.13
1,5,"Not following at all","30-44",0.13
1,5,"Not following at all","45-64",0.04
1,5,"Not following at all","65+",0.02
1,6,"Very closely","18-29",0.25
1,6,"Very closely","30-44",0.33
1,6,"Very closely","45-64",0.38
1,6,"Very closely","65+",0.34
1,6,"Somewhat closely","18-29",0.41
1,6,"Somewhat closely","30-44",0.39
1,6,"Somewhat closely","45-64",0.49
1,6,"Somewhat closely","65+",0.46
1,6,"Not very closely","18-29",0.21
1,6,"Not very closely","30-44",0.2
1,6,"Not very closely","45-64",0.11
1,6,"Not very closely","65+",0.08
1,6,"Not following at all","18-29",0.13
1,6,"Not following at all","30-44",0.09
1,6,"Not following at all","45-64",0.03
1,6,"Not following at all","65+",0.01
1,7,"Very closely","18-29",0.31
1,7,"Very closely","30-44",0.4
1,7,"Very closely","45-64",0.46
1,7,"Very closely","65+",0.56
1,7,"Somewhat closely","18-29",0.51
1,7,"Somewhat closely","30-44",0.43
1,7,"Somewhat closely","45-64",0.46
1,7,"Somewhat closely","65+",0.37
1,7,"Not very closely","18-29",0.14
1,7,"Not very closely","30-44",0.14
1,7,"Not very closely","45-64",0.08
1,7,"Not very closely","65+",0.07
1,7,"Not following at all","18-29",0.04
1,7,"Not following at all","30-44",0.03
1,7,"Not following at all","45-64",0.01
1,7,"Not following at all","65+",0.01
2,1,"Strongly approve","18-29",0.11
2,1,"Strongly approve","30-44",0.14
2,1,"Strongly approve","45-64",0.31
2,1,"Strongly approve","65+",0.38
2,1,"Somewhat approve","18-29",0.23
2,1,"Somewhat approve","30-44",0.19
2,1,"Somewhat approve","45-64",0.14
2,1,"Somewhat approve","65+",0.15
2,1,"Somewhat disapprove","18-29",0.12
2,1,"Somewhat disapprove","30-44",0.13
2,1,"Somewhat disapprove","45-64",0.09
2,1,"Somewhat disapprove","65+",0.09
2,1,"Strongly disapprove","18-29",0.17
2,1,"Strongly disapprove","30-44",0.2
2,1,"Strongly disapprove","45-64",0.2
2,1,"Strongly disapprove","65+",0.16
2,1,"Not sure","18-29",0.37
2,1,"Not sure","30-44",0.35
2,1,"Not sure","45-64",0.25
2,1,"Not sure","65+",0.22
2,2,"Strongly approve","18-29",0.17
2,2,"Strongly approve","30-44",0.18
2,2,"Strongly approve","45-64",0.22
2,2,"Strongly approve","65+",0.32
2,2,"Somewhat approve","18-29",0.12
2,2,"Somewhat approve","30-44",0.2
2,2,"Somewhat approve","45-64",0.18
2,2,"Somewhat approve","65+",0.17
2,2,"Somewhat disapprove","18-29",0.19
2,2,"Somewhat disapprove","30-44",0.12
2,2,"Somewhat disapprove","45-64",0.11
2,2,"Somewhat disapprove","65+",0.07
2,2,"Strongly disapprove","18-29",0.13
2,2,"Strongly disapprove","30-44",0.15
2,2,"Strongly disapprove","45-64",0.18
2,2,"Strongly disapprove","65+",0.19
2,2,"Not sure","18-29",0.39
2,2,"Not sure","30-44",0.35
