"question","week","response","region","percent"
1,1,"Very closely","Northeast",0.24
1,1,"Very closely","Midwest",0.21
1,1,"Very closely","South",0.21
1,1,"Very closely","West",0.25
1,1,"Somewhat closely","Northeast",0.44
1,1,"Somewhat closely","Midwest",0.44
1,1,"Somewhat closely","South",0.45
1,1,"Somewhat closely","West",0.52
1,1,"Not very closely","Northeast",0.22
1,1,"Not very closely","Midwest",0.24
1,1,"Not very closely","South",0.24
1,1,"Not very closely","West",0.19
1,1,"Not following at all","Northeast",0.1
1,1,"Not following at all","Midwest",0.1
1,1,"Not following at all","South",0.11
1,1,"Not following at all","West",0.05
1,2,"Very closely","Northeast",0.25
1,2,"Very closely","Midwest",0.21
1,2,"Very closely","South",0.25
1,2,"Very closely","West",0.27
1,2,"Somewhat closely","Northeast",0.47
1,2,"Somewhat closely","Midwest",0.46
1,2,"Somewhat closely","South",0.43
1,2,"Somewhat closely","West",0.45
1,2,"Not very closely","Northeast",0.2
1,2,"Not very closely","Midwest",0.24
1,2,"Not very closely","South",0.21
1,2,"Not very closely","West",0.17
1,2,"Not following at all","Northeast",0.07
1,2,"Not following at all","Midwest",0.08
1,2,"Not following at all","South",0.12
1,2,"Not following at all","West",0.1
1,3,"Very closely","Northeast",0.23
1,3,"Very closely","Midwest",0.19
1,3,"Very closely","South",0.23
1,3,"Very closely","West",0.24
1,3,"Somewhat closely","Northeast",0.45
1,3,"Somewhat closely","Midwest",0.45
1,3,"Somewhat closely","South",0.48
1,3,"Somewhat closely","West",0.48
1,3,"Not very closely","Northeast",0.25
1,3,"Not very closely","Midwest",0.28
1,3,"Not very closely","South",0.23
1,3,"Not very closely","West",0.22
1,3,"Not following at all","Northeast",0.07
1,3,"Not following at all","Midwest",0.08
1,3,"Not following at all","South",0.07
1,3,"Not following at all","West",0.06
1,4,"Very closely","Northeast",0.25
1,4,"Very closely","Midwest",0.22
1,4,"Very closely","South",0.22
1,4,"Very closely","West",0.28
1,4,"Somewhat closely","Northeast",0.44
1,4,"Somewhat closely","Midwest",0.52
1,4,"Somewhat closely","South",0.43
1,4,"Somewhat closely","West",0.49
1,4,"Not very closely","Northeast",0.21
1,4,"Not very closely","Midwest",0.17
1,4,"Not very closely","South",0.26
1,4,"Not very closely","West",0.18
1,4,"Not following at all","Northeast",0.1
1,4,"Not following at all","Midwest",0.1
1,4,"Not following at all","South",0.09
1,4,"Not following at all","West",0.05
1,5,"Very closely","Northeast",0.37
1,5,"Very closely","Midwest",0.29
1,5,"Very closely","South",0.36
1,5,"Very closely","West",0.41
1,5,"Somewhat closely","Northeast",0.4
1,5,"Somewhat closely","Midwest",0.43
1,5,"Somewhat closely","South",0.43
1,5,"Somewhat closely","West",0.4
1,5,"Not very closely","Northeast",0.15
1,5,"Not very closely","Midwest",0.16
1,5,"Not very closely","South",0.15
1,5,"Not very closely","West",0.12
1,5,"Not following at all","Northeast",0.09
1,5,"Not following at all","Midwest",0.12
1,5,"Not following at all","South",0.06
1,5,"Not following at all","West",0.07
1,6,"Very closely","Northeast",0.38
1,6,"Very closely","Midwest",0.31
1,6,"Very closely","South",0.39
1,6,"Very closely","West",0.34
1,6,"Somewhat closely","Northeast",0.44
1,6,"Somewhat closely","Midwest",0.45
1,6,"Somewhat closely","South",0.41
1,6,"Somewhat closely","West",0.46
1,6,"Not very closely","Northeast",0.15
1,6,"Not very closely","Midwest",0.16
1,6,"Not very closely","South",0.14
1,6,"Not very closely","West",0.14
1,6,"Not following at all","Northeast",0.03
1,6,"Not following at all","Midwest",0.08
1,6,"Not following at all","South",0.06
1,6,"Not following at all","West",0.06
1,7,"Very closely","Northeast",0.42
1,7,"Very closely","Midwest",0.44
1,7,"Very closely","South",0.43
1,7,"Very closely","West",0.45
1,7,"Somewhat closely","Northeast",0.45
1,7,"Somewhat closely","Midwest",0.45
1,7,"Somewhat closely","South",0.43
1,7,"Somewhat closely","West",0.45
1,7,"Not very closely","Northeast",0.12
1,7,"Not very closely","Midwest",0.09
1,7,"Not very closely","South",0.12
1,7,"Not very closely","West",0.08
1,7,"Not following at all","Northeast",0.01
1,7,"Not following at all","Midwest",0.02
1,7,"Not following at all","South",0.02
1,7,"Not following at all","West",0.02
2,1,"Strongly approve","Northeast",0.21
2,1,"Strongly approve","Midwest",0.27
2,1,"Strongly approve","South",0.24
2,1,"Strongly approve","West",0.25
2,1,"Somewhat approve","Northeast",0.18
2,1,"Somewhat approve","Midwest",0.17
2,1,"Somewhat approve","South",0.18
2,1,"Somewhat approve","West",0.17
2,1,"Somewhat disapprove","Northeast",0.14
2,1,"Somewhat disapprove","Midwest",0.11
